flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,0.9532728133614347,0.953347785494769,0.9528017742573818
c1 -> s1,2,0.9533876566025039,0.9534092244552012,0.9532843688824112
c1 -> s1,3,0.9533553056252885,0.9534186595947276,0.953017125650142
c1 -> s1,4,0.9533906131512954,0.953414315857198,0.9533739965302876
c1 -> s1,5,0.9533913617314911,0.953407432489848,0.9533843261716238
c1 -> s1,6,0.9533500868503172,0.9534116766292322,0.9530340018954108
c1 -> s1,7,0.9533971242000705,0.9534150719679456,0.9533876270056564
c1 -> s1,8,0.9533960772934617,0.9534076211174624,0.9533868725272908
c1 -> s1,9,0.9533926916376096,0.9534177128036644,0.95337036861181
c1 -> s1,10,0.95339475697594,0.9534084699426524,0.9533788562684054
c2 -> s2,1,1.0440268469559264,1.0443705287548102,1.043626081495467
c2 -> s2,2,1.9988019253133475,1.9990841038456035,1.99833851113405
c2 -> s2,3,2.8576020895498795,2.8580125261043263,2.8567986199543025
c2 -> s2,4,2.8577643623589637,2.8580193949738755,2.856846544476113
c2 -> s2,5,2.8579743352833655,2.8580066260006936,2.857952997559253
c2 -> s2,6,2.8578760925196223,2.858169226116376,2.8568298166944017
c2 -> s2,7,2.8578112968915317,2.858024218837882,2.856846544476113
c2 -> s2,8,2.8578819766621177,2.858064539179681,2.856825238069398
c2 -> s2,9,2.8579829045697265,2.858039825568292,2.8579490251621715
c2 -> s2,10,2.8580267754202633,2.8582501074093747,2.857950727616712
c3 -> s3,1,1.0440770362447824,1.0443032333208675,1.044029460505391
c3 -> s3,2,2.0266825513312035,2.02875720943141,2.0246843424545617
c3 -> s3,3,3.0277284474617634,3.028682376380968,3.0264957557584498
c3 -> s3,4,4.009554913879582,4.009667967012669,4.009467527129299
c3 -> s3,5,5.011433121481237,5.01150208110422,5.0113773358944655
c3 -> s3,6,5.989367908887003,5.989681165239403,5.98719686229941
c3 -> s3,7,6.989873613855968,6.989943298102341,6.989827853533826
c3 -> s3,8,7.969154485618304,7.9697793971125295,7.966043289878154
c3 -> s3,9,8.570758665400257,8.571768498114915,8.569217937132354
c3 -> s3,10,8.570450341058415,8.573117120213404,8.567466612391286
